name,view,length(sec),date
【二十分鐘講完】宇宙的誕生，進化和終結 ,2458790,1204,2022-04-27
【不好意思，今天的標題可能嚇到各位，但我必須說】我們之間其實沒有任何關係 ,4851763,1633,2022-04-20
世界末日可能和這兩個國家有關 ,3548896,1356,2022-04-13
【第一類接觸】不明飛行物飛機包圍事件 ,3058269,1210,2022-04-06
【如果爆發核戰爭】我會立即這樣做 ,3477070,1410,2022-03-30
【講到流淚】二十分鐘講完第一次世界大戰 ,4674535,1526,2022-03-23
【千萬不要發生】第三次世界大戰預言，世界上只有一個地方可以躲過這個災難 ,4559607,1366,2022-03-16
【突然向俄羅斯宣戰】匿名者，一個存在了二十年的神秘團體 ,3446326,1122,2022-03-09
人變成惡魔的方法 ,3133629,1162,2022-03-02
【緊急】一個正在發生的預言 ,4294948,1080,2022-02-23
蠱，把一些蟲子放到密閉空間中可以創造一個靈體，祂可以幫你實現願望，也將帶你走向毀滅 ,3120665,1314,2022-02-16
把死人復活的正確方法，你不知道的埃及 ,3888912,1700,2022-02-09
無情無義的豪門內鬥 ,2906570,1360,2022-02-02
《我看到未來》目前最準的預言漫畫 ,4327405,1272,2022-01-26
【錢的極限】人一輩子最多能賺多少錢 ,3713918,1814,2022-01-19
三個外星木乃伊，最後一個只有三根手指 ,3484565,1161,2022-01-12
【NFT】Youtube送給我的小禮物 ,1301836,49,2022-01-10
沒想到居然是上海 ,4077262,1128,2022-01-05
目前最厲害的預言者 vs 最強未來人 ,3860772,1406,2021-12-29
為什麼鯨魚不得癌症，不可思議的生物學悖論，佩托悖論 ,3128487,1306,2021-12-22
一個被封印的事件 ,4775106,1451,2021-12-15
【神作】三十分鐘講完《駭客任務》前三部 ,3348508,1754,2021-12-08
考古學上最震撼的發現，超越想象的古代高科技 ,4096757,1341,2021-12-01
只有黑猩猩才有的超能力，人類都望塵莫及，人類和猩猩究竟有什麼區別 ,3097436,1253,2021-11-24
不可不知的NFT，元宇宙的根本，另一個世界的證明 ,3787952,1534,2021-11-17
千萬不要錯過，將會徹底改變世界的元宇宙 ,3905559,1183,2021-11-10
千萬不要碰，帶來短暫幸福和永恆災難的植物 ,4030879,1196,2021-11-03
現實版越獄，從惡魔島逃出來的人 ,4122263,1530,2021-10-27
你不知道的漢堡 ,3425403,1087,2021-10-20
窮爸爸和富爸爸，看完這個影片你將開始成爲有錢人 ,3806051,1204,2021-10-13
超越認知的印度 ,5373397,1699,2021-10-06
科學證明惡魔的存在 ,3704032,1249,2021-09-29
肉體永生的第一方案，人體冷凍術 ,3117691,1280,2021-09-22
超出你想象的貴族階級，普通人成爲貴族的唯一方法 ,4776788,2117,2021-09-15
千萬不要看她的眼睛，否則後果不堪想象 ,4388993,1483,2021-09-08
人爲什麽一定要死，死亡本身究竟有怎樣的重大意義，永生究竟有什麼問題導致我們放棄了永生，你知道嗎？其實遠古生物都是永生的 ,4947173,1292,2021-09-01
【神作】三十六分鐘完全解説這部完美閉合的漫畫 ,6244539,2192,2021-08-25
空中最可怕的生物，第一名居然捕食猴子 ,4077736,1262,2021-08-18
超出你想象的地球故事 ,6713637,1920,2021-08-11
世界上最危險的，但是收入很高的職業 ,4115275,1239,2021-08-04
27分鐘講完十二泰坦與衆神，超越你想象的希臘神話 ,4880545,1623,2021-07-28
打疫苗前你應該先看這個影片 ,3855289,1136,2021-07-21
用影片證明2027年人類消失？目前最火的一個未來人 ,4640837,1223,2021-07-14
【吃飯影片＆首次公開】老高的房間 ,2915109,59,2021-07-11
消除失眠疲勞的根本方法，自律神經 ,4366535,1273,2021-07-07
全面解密真正的51區 ,4539920,1207,2021-06-30
宇宙有多大，人類最遠可以到達宇宙的什麽地方 ,5935310,1519,2021-06-23
碰到就玩完了，世界上最可怕的十大海洋生物 ,5559586,1620,2021-06-16
價值千億，可口可樂的神秘配方 ,4409638,1217,2021-06-09
【神作】四十分鐘講完三體 ,8152619,2301,2021-06-02
超出你想象的地表最强生物 ,4226632,1177,2021-05-26
你所不知道的達爾文 ,4215775,1255,2021-05-19
世界上最危險的五個黑客(駭客) ,3865865,1182,2021-05-12
一直活到現在的地球原住民 ,4635111,1196,2021-05-05
其實她們不是人類，而是曾經存在的另一種人 ,4685585,1278,2021-04-28
千萬不要去！世界十大人類禁地 ,7963627,1159,2021-04-21
這裏出現了太多“不該出現的”東西，和任何古文明都不一樣的三星堆 ,5024917,1299,2021-04-14
當人工智能開始說謊，人類末日就會來臨 ,3838454,1433,2021-04-07
你每天都做這件事，但你真的知道自己在做什麽嗎 ,3869912,1101,2021-03-31
學會這種語言，你就能夠看到未來 ,4848140,1532,2021-03-24
【震撼】看完這期你就無敵了，史上最強戰術，不戰而勝的奧義，孫子兵法 ,5908957,1677,2021-03-17
如何讓你的時間比別人流逝的更慢 ,4009594,1312,2021-03-10
【震撼】最詳盡的阿努納奇的傳説，人類誕生的真正原因，蜥蜴人是怎么来的，莉莉丝究竟是谁 ,5655119,1403,2021-03-03
十一維度的世界！未來和過去的真正關係 | 老高與小茉 Mr ＆ Mrs Gao,4937949,1197,2021-02-24
反重力，違反自然規律的終極表現 ,4492370,1225,2021-02-17
世界首富為我們設計的未來世界，馬斯克2021 ,4815416,1237,2021-02-10
消失的“同學”，一天你被告知一個和你每日相伴的同學其實“並不存在”時 ,4764949,1403,2021-02-03
【神作】二十分鐘講完《新世界福音戰士 EVA》 ,4505296,1205,2021-01-27
我要搬家了，在探索太陽系的時候偶然發現了真正的2021預言，大災難與太陽黑子數量之間可能存在某種聯係 ,5728563,1187,2021-01-20
世界正在無限循環，你要做的只有這件事 ,5061295,1158,2021-01-13
目前最搞笑的一期，我們本來都是神但由於選擇了美貌而變成了人 ,6913416,1956,2021-01-06
隱藏了百年的關於這個世界的第三個預言 ,5397210,1216,2020-12-30
地球上智商最高的九種動物，第一名就快變成人了 ,6379900,1418,2020-12-23
四千億隻蝗蟲哪去了？這可能就是人類的結局 ,5308270,1088,2020-12-16
猶他州神秘的金屬柱消失后又出來三根，人類起源可能真的跟柱子有關 ,5032450,1362,2020-12-09
超超超超罕見的四種人 ,5204392,1313,2020-12-02
鬼滅之刃，一定要看的真正原因 ,5866788,1608,2020-11-25
可怕的巨大史前生物，我們該慶幸它們已經滅絕了 ,7132067,1304,2020-11-18
人有一個很大的弱點，你知道嗎 ,4761192,1348,2020-11-11
目前信息量最大的一期，重力 ,8451481,1567,2020-11-04
目前結尾最特別的一期，PS5和虛幻引擎5 ,5065811,1435,2020-10-28
引起抑鬱的真正原因 ,4930713,1282,2020-10-21
目前最亂的一期，北歐神話 ,5253840,1510,2020-10-14
目前最長的一期，只有五歲抬頭才能看懂的天能（信条） ,8587557,2168,2020-10-07
目前最細思極恐的一期，二十五號宇宙 ,6917356,1488,2020-09-30
不可思议的前世記憶，可能你也有 ,6119213,1197,2020-09-23
歐米娜預言，她不是未來人也不是地球人 ,4927103,1300,2020-09-16
自私的基因，其實我們都被基因利用了 ,3840457,1122,2020-09-09
神作！星際效應，用最簡單的方式告訴你什麽是五維時空 ,7020332,1533,2020-09-02
世界是虛擬的但有一個東西是真實的 ,6320993,1331,2020-08-26
你看到的都是錯覺 ,4600237,1050,2020-08-19
十天之內三個國家發射火星探測器，火星移民開始 ,5224502,1328,2020-08-12
KFK預言，目前爲止最可信的一個未來人 ,6604927,1205,2020-08-05
把左腦和右腦分割之後產生的不可思議的現象 ,5031860,1238,2020-07-29
雪山上發生的最不可思議的事 ,6494304,1438,2020-07-22
【震撼】進化，從1859到2020 ,6709577,1577,2020-07-15
折磨了人類三百年的難題 ,5028117,994,2020-07-08
人類的隱藏能力，從氣功到超能力還有另一個世界的存在 ,8682691,1632,2020-07-01
學校永遠不會教你的知識，錢是什麽 ,4747701,984,2020-06-24
被狼養大的人,4693136,1037,2020-06-17
過去可以被改變的真正原因，被討厭的勇氣 ,5945028,1300,2020-06-10
【震撼】不死之身，地球上最强悍的生物 ,5983006,1400,2020-06-03
如果沒有月球，“它們”就會出現在地球上 ,5353058,945,2020-05-27
【震撼】海奧華預言，人類起源，耶穌是誰，金字塔之謎，你想知道的答案這裡都有 ,8158296,1510,2020-05-20
費城實驗 ，海上發生的最不可思議的事 ,5111042,1034,2020-05-13
目前第二長的一期，多重人格分裂 ,9861103,1744,2020-05-06
免費能源，人類不斷消耗資源的真正原因 ,5222308,1018,2020-04-29
